STATION,LATITUDE,LONGITUDE,NAME
93845099999,-46.4166666,168.3333333,"INVERCARGILL AIRPORT AWS, NZ"
93805099999,-46.15,166.6,"PUYSEGUR POINT AWS, NZ"
85874099999,-45.916058,-71.689475,"BALMACEDA, CI"
87860099999,-45.785347,-67.465508,"COMODORO RIVADAVIA, AR"
93896099999,-45.767,170.733,"TAIAROA HEAD, NZ"
85864099999,-45.594211,-72.106133,"TENIENTE VIDAL, CI"
93800099999,-45.2166666,166.8833333,"SECRETARY ISLAND AWS, NZ"
93831099999,-45.0166666,168.7333333,"QUEENSTOWN AERODROME, NZ"
93773099999,-44.3,171.2333333,"TIMARU AERODROME AWS, NZ"
93987099999,-43.95,-176.5666666,"CHATHAM ISLANDS AWS, NZ"
93709099999,-43.8666666,169.0,"HAAST AWS, NZ"
94962099999,-43.65,146.2666666,"MAATSUYKER ISLAND LIGHTHOUSE, AS"
93780099999,-43.489358,172.532225,"CHRISTCHURCH INTERNATIONAL, NZ"
93781099999,-43.4833333,172.5166666,"CHRISTCHURCH AERO AWS, NZ"
87828099999,-43.2105,-65.270319,"ALMIRANTE ZAR, AR"
85832099999,-43.2,-71.8166666,"FUTALEUFU, CI"
94977099999,-43.2,146.7666666,"HARTZ MOUNTAINS, AS"
94978099999,-43.167,147.833,"PORT ARTHUR PALMER, AS"
95961099999,-42.9833333,145.5,"LOW ROCKY POINT AWS, AS"
85830099999,-42.9166666,-72.7,"CHAITEN, CI"
87803099999,-42.90795,-71.139472,"ESQUEL, AR"
95979099999,-42.9,147.2333333,"MOUNT WELLINGTON, AS"
94970099999,-42.8833333,147.3333333,"HOBART ELLERSLIE ROAD, AS"
94975099999,-42.836111,147.510278,"HOBART, AS"
94964099999,-42.7166666,146.9,"BUSHY PARK BUSHY PARK ESTATES, AS"
93615099999,-42.7166666,170.9833333,"HOKITIKA AERODROME AWS, NZ"
95972099999,-42.6833333,147.4166666,"CAMPANIA KINKORA, AS"
94957099999,-42.4833333,146.7166666,"OUSE FIRE STATION, AS"
94960099999,-42.45,147.4666666,"TUNNAK FIRE STATION, AS"
93678099999,-42.4166666,173.7,"KAIKOURA, NZ"
94959099999,-42.2833333,146.2833333,"BUTLERS GORGE, AS"
94974099999,-42.1986111,145.17,"CAPE SORELL, AS"
94956099999,-42.15,145.2833333,"STRAHAN AERODROME, AS"
94985099999,-42.0333333,147.5,"ROSS THE BOULEVARDS, AS"
94987099999,-42.0,148.2833333,"FRIENDLY BEACHES, AS"
95952099999,-41.85,145.5333333,"MOUNT READ, AS"
95969099999,-41.7333333,147.0833333,"CRESSY RESEARCH STATION, AS"
93515099999,-41.7333333,171.5666666,"WESTPORT AERODROME, NZ"
93597099999,-41.7166666,174.2666666,"CAPE CAMPBELL AWS, NZ"
94968099999,-41.545278,147.214167,"LAUNCESTON, AS"
85799099999,-41.438886,-73.093953,"EL TEPUAL INTERNATIONAL, CI"
94969099999,-41.4166666,147.1166666,"LAUNCESTON TI TREE BEND, AS"
94955099999,-41.3833333,146.3166666,"SHEFFIELD SCHOOL FARM, AS"
93439099999,-41.3333333,174.8,"WELLINGTON AERO AWS, NZ"
93436099999,-41.327221,174.805278,"WELLINGTON INTERNATIONAL, NZ"
93546099999,-41.3,173.2,"NELSON AERODROME AWS, NZ"
87774099999,-41.25,-68.7333333,"MAQUINCHAO, AR"
95960099999,-41.1666666,146.4166666,"DEVONPORT AIRPORT, AS"
87765099999,-41.151172,-71.157542,"SAN CARLOS DE BARILOCHE, AR"
95957099999,-41.0,145.7333333,"WYNYARD AIRPORT, AS"
94983099999,-41.0,148.35,"LARAPUNA EDDYSTONE POINT, AS"
94950099999,-40.9166666,144.7,"MARRAWAH, AS"
93420099999,-40.9,174.9833333,"PARAPARAUMU AWS, NZ"
93498099999,-40.9,176.2,"CASTLEPOINT, NZ"
87791099999,-40.869222,-63.000389,"GOBERNADOR CASTELLO, AR"
94953099999,-40.8333333,145.0833333,"SMITHTON AERODROME, AS"
87784099999,-40.75716,-65.03093,"SAN ANTONIO OESTE AERO, AR"
95980099999,-40.733,148.117,"SWAN ISLAND LIGHTHO, AS"
94954099999,-40.6666666,144.6833333,"CAPE GRIM BAPS, AS"
85782099999,-40.6,-73.05,"OSORNO, CI"
93527099999,-40.55,173.0,"FAREWELL SPIT AWS, NZ"
68906099999,-40.35,-9.8833333,"GOUGH ISLAND, SH"
93404099999,-40.3166666,175.6,"PALMERSTON NORTH AWS, NZ"
94980099999,-40.1,148.0,"FLINDERS ISLAND AIRPORT, AS"
94850099999,-39.8833333,143.8833333,"KING ISLAND AIRPORT, AS"
85766099999,-39.649956,-73.086111,"PICHOY, CI"
93305099999,-39.5333333,173.4333333,"MAUI A PLATFORM, NZ"
93334099999,-39.4666666,175.6833333,"WAIOURU AWS, NZ"
93373099999,-39.4666666,176.8666666,"NAPIER AERODROME AWS, NZ"
94893099999,-39.1166666,146.4166666,"WILSONS PROMONTORY LIGHTHOUSE, AS"
